id_departement;libelle_de_commune;Latitude;Longitude
77;Grez-sur-Loing;48,30712216;2,677423419
91;Angerville;48,30956277;2,006191123
77;Flagy;48,30957157;2,917008961
77;Boissy-aux-Cailles;48,31188396;2,492770362
77;Dormelles;48,31342326;2,889222359
77;Villiers-sous-Grez;48,31443334;2,639183517
77;La Genevraye;48,31502778;2,752965428
77;La Chapelle-la-Reine;48,31594623;2,566697072
91;Méréville;48,31837808;2,073699293
77;Montmachoux;48,31996423;2,992383085
77;Nanteau-sur-Essonne;48,3201309;2,426770439
91;Blandy;48,32375391;2,257859111
91;Brouy;48,32644812;2,289278904
91;Arrancourt;48,32670411;2,151555349
77;Villecerf;48,32726351;2,84591676
91;Boigneville;48,32816895;2,366091676
77;Épisy;48,33162032;2,793046844
77;Bourron-Marlotte;48,33526108;2,701699935
77;Noisy-Rudignon;48,33647935;2,934089647
77;La Brosse-Montceaux;48,33894313;3,023627289
77;Recloses;48,33979265;2,642685895
77;Ury;48,34087661;2,600355208
77;Montigny-sur-Loing;48,34133247;2,750948601
77;Esmans;48,34295198;2,969156533
77;Tousson;48,34334863;2,457926082
91;Abbéville-la-Rivière;48,34374614;2,191276793
91;Champmotteux;48,34393976;2,314851154
77;Ville-Saint-Jacques;48,34453858;2,898328918
91;Roinvilliers;48,34469666;2,236975631
77;Le Vaudoué;48,34713364;2,521876381
91;Monnerville;48,34757783;2,037561404
77;Achères-la-Forêt;48,34852856;2,564566867
91;Saint-Cyr-la-Rivière;48,35010333;2,13743376
91;Pussay;48,35013904;1,997583934
77;Montarlot;48,35139759;2,858266693
91;Prunay-sur-Essonne;48,35206625;2,361308276
91;Buno-Bonnevaux;48,35690899;2,406961473
77;Écuelles;48,35793786;2,831110242
91;Mespuits;48,35830124;2,276600443
91;Saclas;48,35838562;2,113332141
91;Fontaine-la-Rivière;48,36023678;2,164827802
77;Cannes-Écluse;48,36403767;2,99078668
77;Moret-sur-Loing;48,36509292;2,811725858
77;Misy-sur-Yonne;48,36561443;3,095243658
77;Barbey;48,36603354;3,050011831
91;Gironville-sur-Essonne;48,36633262;2,345743477
