ville;mediane_niveau_de_vie_2019;part_menages_fiscaux_imposés_2019
Housset;16400;
Iron;18550;
Itancourt;22820;
Iviers;18420;
Jaulgonne;20710;
Jeancourt;20210;
Jeantes;17910;
Joncourt;22550;
Jouaignes;20340;
Jumencourt;19800;
Jumigny;;
Jussy;19450;
Juvigny;20210;
Juvincourt-et-Damary;20530;
Laffaux;20160;
Laigny;22360;
Lanchy;;
Landifay-et-Bertaignemont;19360;
Landouzy-la-Cour;19150;
Landouzy-la-Ville;18330;
Landricourt;21450;
Laniscourt;22340;
Laon;16570;39
Lappion;18360;
Largny-sur-Automne;24400;
Latilly;19330;
Launoy;17200;
Laval-en-Laonnois;20480;
Lavaqueresse;19340;
Laversine;25360;
Lemé;18110;
Lempire;18940;
Lerzy;20040;
Leschelle;22520;
Lesdins;23050;
Lesges;;
Lesquielles-Saint-Germain;17900;
Leuilly-sous-Coucy;20570;
Leury;22410;
Leuze;18320;
Levergies;20920;
Lhuys;18970;
Licy-Clignon;;
Lierval;20460;
Liesse-Notre-Dame;18330;
Liez;19870;
Limé;19880;
Lislet;19340;
Logny-lès-Aubenton;;
Longpont;22300;
Les Septvallons;19770;
Lor;19360;
Louâtre;21110;
Loupeigne;;
Lucy-le-Bocage;23320;
Lugny;17920;
Luzoir;19740;
Ly-Fontaine;21540;
Maast-et-Violaine;19230;
Mâchecourt;19660;
Macogny;;
Macquigny;17290;
Magny-la-Fosse;19860;
Maissemy;22440;
Maizy;19950;
La Malmaison;18670;
Malzy;18910;
Manicamp;19620;
Marchais;18520;
Dhuys et Morin-en-Brie;20050;
Marcy;24690;
Marcy-sous-Marle;18060;
Marest-Dampcourt;19790;
Mareuil-en-Dôle;19330;
Marfontaine;;
Margival;20880;
Marigny-en-Orxois;21100;
Marizy-Sainte-Geneviève;22340;
Marizy-Saint-Mard;;
Marle;16710;38
Marly-Gomont;17890;
Martigny;16640;
Martigny-Courpierre;21170;
Mauregny-en-Haye;19720;
Mayot;18900;
Mennessis;20550;
Mennevret;17940;
Mercin-et-Vaux;22400;
Merlieux-et-Fouquerolles;20820;
Mesbrecourt-Richecourt;19820;
Mesnil-Saint-Laurent;28590;
Meurival;;
Mézières-sur-Oise;22130;
Mézy-Moulins;20660;
Missy-aux-Bois;24230;
Missy-lès-Pierrepont;;
Missy-sur-Aisne;21780;
Molain;18490;
Molinchart;23340;
Monampteuil;25840;
Monceau-le-Neuf-et-Faucouzy;19260;
Monceau-lès-Leups;20560;
Monceau-le-Waast;20250;
Monceau-sur-Oise;21740;
Mondrepuis;20170;
Monnes;22050;
Mons-en-Laonnois;21210;
Montaigu;19860;
Montbavin;;
Montbrehain;17930;
Montchâlons;;
Montcornet;16610;
Mont-d'Origny;18920;
Montescourt-Lizerolles;18490;
Montfaucon;22630;
Montgobert;22150;
Montgru-Saint-Hilaire;;
Monthenault;23170;
Monthiers;19050;
Monthurel;24080;
Montigny-en-Arrouaise;19620;
Montigny-l'Allier;21400;
Montigny-le-Franc;20370;
Montigny-Lengrain;20190;
Montigny-lès-Condé;;
Montigny-sous-Marle;;
Montigny-sur-Crécy;18690;
Montlevon;21640;
Montloué;16770;
Mont-Notre-Dame;20110;
Montreuil-aux-Lions;21810;
Mont-Saint-Jean;;
Mont-Saint-Martin;;
Mont-Saint-Père;22550;
Morcourt;22460;
Morgny-en-Thiérache;;
Morsain;19850;
Mortefontaine;22240;
Mortiers;19900;
Moulins;;
Moussy-Verneuil;19380;
Moÿ-de-l'Aisne;21010;
Muret-et-Crouttes;20420;
Muscourt;;
Nampcelles-la-Cour;18600;
Nampteuil-sous-Muret;20060;
Nanteuil-la-Fosse;21250;
Nanteuil-Notre-Dame;;
Nauroy;19090;
Nesles-la-Montagne;22550;
Neufchâtel-sur-Aisne;21420;
Neuflieux;;
Neuilly-Saint-Front;19010;41
Neuve-Maison;17520;
La Neuville-Bosmont;20620;
La Neuville-en-Beine;21530;
La Neuville-Housset;;
La Neuville-lès-Dorengt;19110;
Neuville-Saint-Amand;22050;
Neuville-sur-Ailette;19330;
Neuville-sur-Margival;19570;
Neuvillette;20710;
Nizy-le-Comte;18880;
Nogentel;23620;
Nogent-l'Artaud;20150;49
Noircourt;;
Noroy-sur-Ourcq;22870;
Le Nouvion-en-Thiérache;17650;38
Nouvion-et-Catillon;18360;
Nouvion-le-Comte;20480;
Nouvion-le-Vineux;22420;
Nouvron-Vingré;17880;
Noyales;17960;
Noyant-et-Aconin;22000;
Œuilly;19590;
Ognes;21400;
Ohis;17200;
Oigny-en-Valois;24520;
Oisy;18280;
Ollezy;19800;
Omissy;22500;
Orainville;24570;
Orgeval;;
Origny-en-Thiérache;18910;
Origny-Sainte-Benoite;17810;
Osly-Courtil;20910;
Ostel;;
Oulches-la-Vallée-Foulon;;
Oulchy-la-Ville;20040;
Oulchy-le-Château;18600;
Paars;22880;
Paissy;;
Pancy-Courtecon;;
Papleux;19930;
Parcy-et-Tigny;20990;
Parfondeval;22620;
Parfondru;22060;
Pargnan;;
Pargny-Filain;21990;
Pargny-la-Dhuys;21750;
Pargny-les-Bois;20000;
Parpeville;22110;
Pasly;23920;
Passy-en-Valois;20990;
Passy-sur-Marne;23290;
Pavant;20750;
Pernant;22810;
Pierremande;20730;
Pierrepont;20000;
Pignicourt;20290;
Pinon;18160;
Pithon;;
Pleine-Selve;18910;
Le Plessier-Huleu;;
Ploisy;;
Plomion;17180;
Ployart-et-Vaurseine;;
Pommiers;21820;
Pont-Arcy;18400;
Pontavert;21760;
Pontru;19090;
Pontruet;24030;
Pont-Saint-Mard;21770;
Pouilly-sur-Serre;20890;
Prémont;18950;
Prémontré;22230;
Presles-et-Boves;19100;
Presles-et-Thierny;26560;
Priez;;
Prisces;16910;
Proisy;20090;
Proix;17980;
Prouvais;21610;
Proviseux-et-Plesnoy;22490;
Puiseux-en-Retz;24210;
Puisieux-et-Clanlieu;18720;
Quierzy;21040;
Quincy-Basse;;
Quincy-sous-le-Mont;;
Raillimont;;
Ramicourt;21040;
Regny;23070;
Remaucourt;23480;
Remies;19600;
Remigny;20410;
